whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
448,pā,1,pø̄,1 pā,I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
449,pā,2,pā,2 pā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
450,pā,3,,,,,,,,,unclassifiable,,,,,no_authorial_binding
451,pāy,,pai,pāy,IV,I,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
452,pi,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
453,pinv,,pinv,pinv,III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
454,pibd,,pibd,pibd,III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
455,piś,,piś,piś,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
456,piṣ,,piṣ,piṣ,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
457,pis,,pis,pis,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
458,pī,1,,,,,,,,,unclassifiable,,,,,no_authorial_binding
459,pī,2,,,,,,,,,unclassifiable,,,,,no_authorial_binding
460,pīḍ,,pīḍ,pīḍ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
461,pīy,,pīy,pīy,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
462,puṭ,,puṭ,puṭ,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
463,puth,,puth,puth,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
464,puṣ,,puṣ,puṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
465,pū,,pū,pū,I,U₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
466,pūj,,pūj,pūj,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
467,pūy,,pūy,pūy,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
468,pūr,,pṝ,"1 pṛ, pṛṇ, pūr",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
469,pṛ,1,pṝ,"1 pṛ, pṛṇ, pūr",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
470,pṛ,2,pṛ,2 pṛ,I,R₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
471,pṛ,3,pṛ,3 pṛ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
472,pṛc,,pṛc,pṛc,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
