lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
aSani	AK-1.1	96	7	2
vyomayAna	AK-1.1	97	1	1
vimAna	AK-1.1	97	14	4
nArada	AK-1.1	98	7	1
surarzi	AK-1.1	99	2	1
suDarmA	AK-1.1	100	2	0
devasaBA	AK-1.1	100	2	2
pIyUza	AK-1.1	101	4	2
amfta	AK-1.1	101	31	3
suDA	AK-1.1	101	17	2
mandAkinI	AK-1.1	102	5	2
viyadgaNgA	AK-1.1	102	1	1
svarRadI	AK-1.1	102	2	1
suradIrGikA	AK-1.1	102	1	1
meru	AK-1.1	103	9	2
sumeru	AK-1.1	103	4	1
hemAdri	AK-1.1	103	3	1
ratnasAnu	AK-1.1	103	1	1
surAlaya	AK-1.1	103	5	1
devataru	AK-1.1	104	2	1
mandAra	AK-1.1	105	9	2
pArijAtaka	AK-1.1	106	4	1
santAna	AK-1.1	107	0	0
kalpavfkza	AK-1.1	108	1	2
haricandana	AK-1.1	109	6	1
sanatkumAra	AK-1.1	110	1	1
vEDAtra	AK-1.1	110	2	1
svarvEdyO	AK-1.1	111	0	0
aSvinIsutO	AK-1.1	111	1	0
nAsatyO	AK-1.1	111	0	0
aSvinO	AK-1.1	111	0	0
dasrO	AK-1.1	111	0	0
ASvineyO	AK-1.1	111	0	0
apsaras	AK-1.1	112	2	4
svarveSyA	AK-1.1	112	1	1
GftAcI	AK-1.1	113	5	1
menakA	AK-1.1	114	2	1
ramBA	AK-1.1	115	8	0
urvaSI	AK-1.1	116	2	2
tilottamA	AK-1.1	117	3	1
sukeSI	AK-1.1	118	3	0
maYjuGozA	AK-1.1	119	2	0
hAhA	AK-1.1	120	2	2
hUhU	AK-1.1	121	2	2
ganDarva	AK-1.1	122	15	2
agni	AK-1.1	123	10	4
vESvAnara	AK-1.1	123	16	1
vahni	AK-1.1	123	16	1
vItihotra	AK-1.1	123	10	1
DanaYjaya	AK-1.1	123	0	0
kfpIwayoni	AK-1.1	123	1	1
jvalana	AK-1.1	123	7	2
jAtavedas	AK-1.1	123	3	1
tanUnapAt	AK-1.1	123	4	1
barhi	AK-1.1	123	3	0
Suzman	AK-1.1	123	3	1
kfzRavartman	AK-1.1	123	4	1
SocizkeSa	AK-1.1	123	2	1
uzarbuDa	AK-1.1	123	4	2
ASrayASa	AK-1.1	123	2	1
bfhadBAnu	AK-1.1	123	6	2
kfSAnu	AK-1.1	123	6	2
pAvaka	AK-1.1	123	10	2
anala	AK-1.1	123	14	2
rohitASva	AK-1.1	123	2	1
vAyusaKa	AK-1.1	123	1	1
SiKAvat	AK-1.1	123	8	0
ASuSukzaRi	AK-1.1	123	3	2
hiraRyaretas	AK-1.1	123	7	1
hutaBuj	AK-1.1	123	3	1
dahana	AK-1.1	123	13	2
havyavAhana	AK-1.1	123	5	1
saptArcis	AK-1.1	123	5	1
damunas	AK-1.1	123	1	1
Sukra	AK-1.1	123	28	1
citraBAnu	AK-1.1	123	9	2
viBAvasu	AK-1.1	123	11	1
Suci	AK-1.1	123	36	1
appitta	AK-1.1	123	2	1
Orva	AK-1.1	124	8	2
vAqava	AK-1.1	124	1	1
vaqavAnala	AK-1.1	124	0	1
jvAlA	AK-1.1	125	6	0
kIlA	AK-1.1	125	6	0
arcis	AK-1.1	125	2	2
