chain_id	step_index	source	sutra_code	step_result
ch0001181	23	Ashtadhyayi	8.4.68	tizWA  mahe
ch0001182	0	Ashtadhyayi	1.3.1	zWA\
ch0001182	1	Varttika	6.1.64.2	sTA
ch0001182	2	Ashtadhyayi	3.3.162	sTA lo~w
ch0001182	3	Ashtadhyayi	1.3.2	sTA lo~w
ch0001182	4	Ashtadhyayi	1.3.3	sTA lo~w
ch0001182	5	Ashtadhyayi	1.3.9	sTA l
ch0001182	6	Ashtadhyayi	1.3.78	sTA l
ch0001182	7	Ashtadhyayi	3.4.78	sTA mip
ch0001182	8	Ashtadhyayi	1.3.3	sTA mip
ch0001182	9	Ashtadhyayi	1.3.9	sTA mi
ch0001182	10	Ashtadhyayi	3.4.113	sTA mi
ch0001182	11	Ashtadhyayi	3.1.68	sTA Sap mi
ch0001182	12	Ashtadhyayi	1.3.3	sTA Sap mi
ch0001182	13	Ashtadhyayi	1.3.8	sTA Sap mi
ch0001182	14	Ashtadhyayi	1.3.9	sTA a mi
ch0001182	15	Ashtadhyayi	3.4.113	sTA a mi
ch0001182	16	Ashtadhyayi	3.4.89	sTA a ni
ch0001182	17	Ashtadhyayi	3.4.92	sTA a Aw ni
ch0001182	18	Ashtadhyayi	1.3.3	sTA a Aw ni
ch0001182	19	Ashtadhyayi	1.3.9	sTA a A ni
ch0001182	20	Ashtadhyayi	1.4.13	sTA a A ni
ch0001182	21	Ashtadhyayi	7.3.78	tizWa a A ni
ch0001182	22	Ashtadhyayi	1.4.14	tizWa a A ni
ch0001182	23	Ashtadhyayi	6.1.97	tizW a A ni
ch0001182	24	Ashtadhyayi	6.1.101	tizW A  ni
ch0001183	0	Ashtadhyayi	1.3.1	zWA\
ch0001183	1	Varttika	6.1.64.2	sTA
ch0001183	2	Ashtadhyayi	3.2.123	sTA la~w
ch0001183	3	Ashtadhyayi	1.3.2	sTA la~w
ch0001183	4	Ashtadhyayi	1.3.3	sTA la~w
ch0001183	5	Ashtadhyayi	1.3.9	sTA l
ch0001183	6	Ashtadhyayi	1.3.78	sTA l
ch0001183	7	Ashtadhyayi	3.4.78	sTA Ta
ch0001183	8	Ashtadhyayi	3.4.113	sTA Ta
ch0001183	9	Ashtadhyayi	3.1.68	sTA Sap Ta
ch0001183	10	Ashtadhyayi	1.3.3	sTA Sap Ta
ch0001183	11	Ashtadhyayi	1.3.8	sTA Sap Ta
ch0001183	12	Ashtadhyayi	1.3.9	sTA a Ta
ch0001183	13	Ashtadhyayi	3.4.113	sTA a Ta
ch0001183	14	Ashtadhyayi	1.2.4	sTA a Ta
ch0001183	15	Ashtadhyayi	1.4.13	sTA a Ta
ch0001183	16	Ashtadhyayi	7.3.78	tizWa a Ta
ch0001183	17	Ashtadhyayi	1.4.14	tizWa a Ta
ch0001183	18	Ashtadhyayi	6.1.97	tizW a Ta
ch0001183	19	Ashtadhyayi	8.4.68	tizW a Ta
ch0001184	0	Ashtadhyayi	1.3.1	zWA\
ch0001184	1	Varttika	6.1.64.2	sTA
ch0001184	2	Ashtadhyayi	3.3.162	sTA lo~w
ch0001184	3	Ashtadhyayi	1.3.2	sTA lo~w
ch0001184	4	Ashtadhyayi	1.3.3	sTA lo~w
ch0001184	5	Ashtadhyayi	1.3.9	sTA l
ch0001184	6	Ashtadhyayi	1.3.23	sTA l
ch0001184	7	Ashtadhyayi	3.4.78	sTA Ja
ch0001184	8	Ashtadhyayi	3.4.113	sTA Ja
ch0001184	9	Ashtadhyayi	3.1.68	sTA Sap Ja
ch0001184	10	Ashtadhyayi	1.3.3	sTA Sap Ja
ch0001184	11	Ashtadhyayi	1.3.8	sTA Sap Ja
ch0001184	12	Ashtadhyayi	1.3.9	sTA a Ja
ch0001184	13	Ashtadhyayi	3.4.113	sTA a Ja
ch0001184	14	Ashtadhyayi	3.4.79	sTA a Je
ch0001184	15	Ashtadhyayi	3.4.90	sTA a JAm
ch0001184	16	Ashtadhyayi	1.2.4	sTA a JAm
ch0001184	17	Ashtadhyayi	7.1.3	sTA a antAm
ch0001184	18	Ashtadhyayi	1.4.13	sTA a antAm
ch0001184	19	Ashtadhyayi	7.3.78	tizWa a antAm
ch0001184	20	Ashtadhyayi	1.4.14	tizWa a antAm
ch0001184	21	Ashtadhyayi	6.1.97	tizW a antAm
ch0001184	22	Ashtadhyayi	6.1.97	tizW  antAm
ch0001184	23	Ashtadhyayi	8.3.24	tizW  aMtAm
ch0001184	24	Ashtadhyayi	8.4.58	tizW  antAm
ch0001184	25	Ashtadhyayi	8.4.68	tizW  antAm
ch0001185	0	Ashtadhyayi	1.3.1	zWA\
ch0001185	1	Varttika	6.1.64.2	sTA
ch0001185	2	Ashtadhyayi	3.3.161	sTA li~N
ch0001185	3	Ashtadhyayi	1.3.2	sTA li~N
ch0001185	4	Ashtadhyayi	1.3.3	sTA li~N
ch0001185	5	Ashtadhyayi	1.3.9	sTA l
ch0001185	6	Ashtadhyayi	1.3.23	sTA l
ch0001185	7	Ashtadhyayi	3.4.78	sTA Ja
ch0001185	8	Ashtadhyayi	3.4.113	sTA Ja
ch0001185	9	Ashtadhyayi	3.1.68	sTA Sap Ja
ch0001185	10	Ashtadhyayi	1.3.3	sTA Sap Ja
ch0001185	11	Ashtadhyayi	1.3.8	sTA Sap Ja
ch0001185	12	Ashtadhyayi	1.3.9	sTA a Ja
ch0001185	13	Ashtadhyayi	3.4.113	sTA a Ja
ch0001185	14	Ashtadhyayi	3.4.102	sTA a sIyu~w Ja
ch0001185	15	Ashtadhyayi	1.3.2	sTA a sIyu~w Ja
ch0001185	16	Ashtadhyayi	1.3.3	sTA a sIyu~w Ja
ch0001185	17	Ashtadhyayi	1.3.9	sTA a sIy Ja
ch0001185	18	Ashtadhyayi	3.4.105	sTA a sIy ran
ch0001185	19	Ashtadhyayi	1.3.4	sTA a sIy ran
ch0001185	20	Ashtadhyayi	1.2.4	sTA a sIy ran
ch0001185	21	Ashtadhyayi	1.4.13	sTA a sIy ran
ch0001185	22	Ashtadhyayi	7.3.78	tizWa a sIy ran
ch0001185	23	Ashtadhyayi	7.2.79	tizWa a Iy ran
ch0001185	24	Ashtadhyayi	6.1.66	tizWa a I ran
ch0001185	25	Ashtadhyayi	1.4.14	tizWa a I ran
ch0001185	26	Ashtadhyayi	6.1.97	tizW a I ran
ch0001185	27	Ashtadhyayi	6.1.87	tizW  e ran
ch0001185	28	Ashtadhyayi	8.4.37	tizW  e ran
ch0001185	29	Ashtadhyayi	8.4.68	tizW  e ran
ch0001186	0	Ashtadhyayi	1.3.1	zWA\
ch0001186	1	Varttika	6.1.64.2	sTA
ch0001186	2	Ashtadhyayi	3.3.161	sTA li~N
ch0001186	3	Ashtadhyayi	1.3.2	sTA li~N
ch0001186	4	Ashtadhyayi	1.3.3	sTA li~N
ch0001186	5	Ashtadhyayi	1.3.9	sTA l
ch0001186	6	Ashtadhyayi	1.3.78	sTA l
ch0001186	7	Ashtadhyayi	3.4.78	sTA mip
ch0001186	8	Ashtadhyayi	1.3.3	sTA mip
ch0001186	9	Ashtadhyayi	1.3.9	sTA mi
ch0001186	10	Ashtadhyayi	3.4.113	sTA mi
ch0001186	11	Ashtadhyayi	3.1.68	sTA Sap mi
ch0001186	12	Ashtadhyayi	1.3.3	sTA Sap mi
ch0001186	13	Ashtadhyayi	1.3.8	sTA Sap mi
ch0001186	14	Ashtadhyayi	1.3.9	sTA a mi
ch0001186	15	Ashtadhyayi	3.4.113	sTA a mi
ch0001186	16	Ashtadhyayi	3.4.101	sTA a am
ch0001186	17	Ashtadhyayi	1.3.4	sTA a am
ch0001186	18	Ashtadhyayi	3.4.103	sTA a yAsu~w am
ch0001186	19	Ashtadhyayi	1.3.2	sTA a yAsu~w am
ch0001186	20	Ashtadhyayi	1.3.3	sTA a yAsu~w am
ch0001186	21	Ashtadhyayi	1.3.9	sTA a yAs am
ch0001186	22	Ashtadhyayi	1.4.13	sTA a yAs am
ch0001186	23	Ashtadhyayi	7.3.78	tizWa a yAs am
ch0001186	24	Ashtadhyayi	7.2.79	tizWa a yA am
ch0001186	25	Ashtadhyayi	7.2.80	tizWa a iy am
ch0001186	26	Ashtadhyayi	1.4.14	tizWa a iy am
ch0001186	27	Ashtadhyayi	6.1.97	tizW a iy am
ch0001186	28	Ashtadhyayi	6.1.87	tizW  ey am
ch0001186	29	Ashtadhyayi	8.4.68	tizW  ey am
ch0001187	0	Ashtadhyayi	1.3.1	zWA\
ch0001187	1	Varttika	6.1.64.2	sTA
ch0001187	2	Ashtadhyayi	3.2.111	sTA laN
ch0001187	3	Ashtadhyayi	1.3.3	sTA laN
ch0001187	4	Ashtadhyayi	1.3.9	sTA la
ch0001187	5	Ashtadhyayi	1.3.78	sTA la
ch0001187	6	Ashtadhyayi	3.4.78	sTA vas
ch0001187	7	Ashtadhyayi	1.3.4	sTA vas
ch0001187	8	Ashtadhyayi	3.4.113	sTA vas
ch0001187	9	Ashtadhyayi	3.1.68	sTA Sap vas
ch0001187	10	Ashtadhyayi	1.3.3	sTA Sap vas
ch0001187	11	Ashtadhyayi	1.3.8	sTA Sap vas
ch0001187	12	Ashtadhyayi	1.3.9	sTA a vas
ch0001187	13	Ashtadhyayi	3.4.113	sTA a vas
ch0001187	14	Ashtadhyayi	3.4.99	sTA a va
ch0001187	15	Ashtadhyayi	1.2.4	sTA a va
ch0001187	16	Ashtadhyayi	1.4.13	sTA a va
ch0001187	17	Ashtadhyayi	7.3.78	tizWa a va
ch0001187	18	Ashtadhyayi	6.4.71	aw tizWa a va
ch0001187	19	Ashtadhyayi	1.3.3	aw tizWa a va
ch0001187	20	Ashtadhyayi	1.3.9	a tizWa a va
ch0001187	21	Ashtadhyayi	1.4.14	a tizWa a va
ch0001187	22	Ashtadhyayi	7.3.101	a tizWa A va
ch0001187	23	Ashtadhyayi	6.1.101	a tizWA  va
ch0001187	24	Ashtadhyayi	8.4.68	a tizWA  va
