mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	34	1	a	triś cin no adyā bhavataṃ navedasā	joined	samudra:01_rigveda.no_tags#34.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.01	y
1	34	1	b	vibhur vāṃ yāma uta rātir aśvinā	joined	samudra:01_rigveda.no_tags#34.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.01	y
1	34	1	c	yuvor hi yantraṃ himyeva vāsasaḥ	joined	samudra:01_rigveda.no_tags#34.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.01	n
1	34	1	d	abhyāyaṃsenyā bhavataṃ manīṣibhiḥ	joined	samudra:01_rigveda.no_tags#34.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.01	n
1	34	2	a	trayaḥ pavayo madhuvāhane rathe	joined	samudra:01_rigveda.no_tags#34.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.02	y
1	34	2	b	somasya venām anu viśva id viduḥ	joined	samudra:01_rigveda.no_tags#34.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.02	y
1	34	2	c	traya skambhāsa stabhitāsa ārabhe	joined	samudra:01_rigveda.no_tags#34.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.02	n
1	34	2	d	trir naktaṃ yāthas trir v aśvinā divā	joined	samudra:01_rigveda.no_tags#34.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.02	y
1	34	3	a	samāne ahan trir avadyagohanā	joined	samudra:01_rigveda.no_tags#34.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.03	y
1	34	3	b	trir adya yajñaṃ madhunā mimikṣatam	joined	samudra:01_rigveda.no_tags#34.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.03	y
1	34	3	c	trir vājavatīr iṣo aśvinā yuvam	joined	samudra:01_rigveda.no_tags#34.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.03	y
1	34	3	d	doṣā asmabhyam uṣasaś ca pinvatam	joined	samudra:01_rigveda.no_tags#34.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.03	y
1	34	4	a	trir vartir yātaṃ trir anuvrate jane	joined	samudra:01_rigveda.no_tags#34.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.04	y
1	34	4	b	triḥ suprāvye tredheva śikṣatam	joined	samudra:01_rigveda.no_tags#34.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.04	y
1	34	4	c	trir nāndyaṃ vahatam aśvinā yuvam	joined	samudra:01_rigveda.no_tags#34.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.04	y
1	34	4	d	triḥ pṛkṣo asme akṣareva pinvatam	joined	samudra:01_rigveda.no_tags#34.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.04	y
1	34	5	a	trir no rayiṃ vahatam aśvinā yuvam	joined	samudra:01_rigveda.no_tags#34.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.05	y
1	34	5	b	trir devatātā trir utāvataṃ dhiyaḥ	joined	samudra:01_rigveda.no_tags#34.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.05	y
1	34	5	c	triḥ saubhagatvaṃ trir uta śravāṃsi naḥ	joined	samudra:01_rigveda.no_tags#34.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.05	y
1	34	5	d	triṣṭhaṃ vāṃ sūre duhitā ruhat ratham	joined	samudra:01_rigveda.no_tags#34.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.05	n
1	34	6	a	trir no aśvinā divyāni bheṣajā	joined	samudra:01_rigveda.no_tags#34.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.06	y
1	34	6	b	triḥ pārthivāni trir u dattam adbhyaḥ	joined	samudra:01_rigveda.no_tags#34.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.06	y
1	34	6	c	omānaṃ śaṃyor mamakāya sūnave	joined	samudra:01_rigveda.no_tags#34.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.06	y
1	34	6	d	tridhātu śarma vahataṃ śubhas patī	joined	samudra:01_rigveda.no_tags#34.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.06	y
1	34	7	a	trir no aśvinā yajatā dive-dive	joined	samudra:01_rigveda.no_tags#34.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.07	y
1	34	7	b	pari tridhātu pṛthivīm aśāyatam	joined	samudra:01_rigveda.no_tags#34.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.07	y
1	34	7	c	tisro nāsatyā rathyā parāvataḥ	joined	samudra:01_rigveda.no_tags#34.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.07	y
1	34	7	d	ātmeva vātaḥ svasarāṇi gachatam	joined	samudra:01_rigveda.no_tags#34.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.07	n
1	34	8	a	trir aśvinā sindhubhiḥ saptamātṛbhiḥ	joined	samudra:01_rigveda.no_tags#34.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.08	y
1	34	8	b	traya āhāvās tredhā haviṣ kṛtam	joined	samudra:01_rigveda.no_tags#34.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.08	y
1	34	8	c	tisraḥ pṛthivīr upari pravā divaḥ	joined	samudra:01_rigveda.no_tags#34.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.08	n
1	34	8	d	nākaṃ rakṣethe dyubhir aktubhir hitam	joined	samudra:01_rigveda.no_tags#34.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.08	y
1	34	9	a	kva trī cakrā trivṛto rathasya	joined	samudra:01_rigveda.no_tags#34.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.09	y
1	34	9	b	kva trayo vandhuro ye sanīḍāḥ	joined	samudra:01_rigveda.no_tags#34.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.09	n
1	34	9	c	kadā yogo vājino rāsabhasya	joined	samudra:01_rigveda.no_tags#34.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.09	y
1	34	9	d	yena yajñaṃ nāsatyopayāthaḥ	joined	samudra:01_rigveda.no_tags#34.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.09	y
1	34	10	a	ā nāsatyā gachataṃ hūyate haviḥ	joined	samudra:01_rigveda.no_tags#34.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.10	n
1	34	10	b	madhvaḥ pibataṃ madhupebhir āsabhiḥ	joined	samudra:01_rigveda.no_tags#34.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.10	y
1	34	10	c	yuvor hi pūrvaṃ savitoṣaso ratham	joined	samudra:01_rigveda.no_tags#34.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.10	y
1	34	10	d	ṛtāya citraṃ ghṛtavantam iṣyati	joined	samudra:01_rigveda.no_tags#34.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.10	y
1	34	11	a	ā nāsatyā tribhir ekādaśair iha	joined	samudra:01_rigveda.no_tags#34.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.11	y
1	34	11	b	devebhir yātaṃ madhupeyam aśvinā	joined	samudra:01_rigveda.no_tags#34.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.11	y
1	34	11	c	prāyus tāriṣṭaṃ ni rapāṃsi mṛkṣatam	joined	samudra:01_rigveda.no_tags#34.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.11	y
1	34	11	d	sedhataṃ dveṣo bhavataṃ sacābhuvā	joined	samudra:01_rigveda.no_tags#34.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.11	y
1	34	12	a	ā no aśvinā trivṛtā rathena	joined	samudra:01_rigveda.no_tags#34.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.12	y
1	34	12	b	arvāñcaṃ rayiṃ vahataṃ suvīram	joined	samudra:01_rigveda.no_tags#34.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.12	y
1	34	12	c	śṛṇvantā vām avase johavīmi	joined	samudra:01_rigveda.no_tags#34.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.12	y
1	34	12	d	vṛdhe ca no bhavataṃ vājasātau	joined	samudra:01_rigveda.no_tags#34.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.034.html#rv01.034.12	y
1	35	1	a	hvayāmy agniṃ prathamaṃ svastaye	joined	samudra:01_rigveda.no_tags#35.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.01	y
1	35	1	b	hvayāmi mitrāvaruṇāv ihāvase	joined	samudra:01_rigveda.no_tags#35.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.01	y
1	35	1	c	hvayāmi rātrīṃ jagato niveśanīm	joined	samudra:01_rigveda.no_tags#35.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.01	y
1	35	1	d	hvayāmi devaṃ savitāram ūtaye	joined	samudra:01_rigveda.no_tags#35.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.01	y
1	35	2	a	ā kṛṣṇena (TS. satyena) rajasā vartamānaḥ	joined	samudra:01_rigveda.no_tags#35.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.02	n
