signature	count	share_pct
NUM|Gen Dual Neut	54	0.000949
VERB|Voc Sing Masc Past	53	0.000932
VERB|Sing p1 Past Sub	52	0.000914
VERB|Sing p2 Pres Imp Pass	52	0.000914
VERB|Dat Sing Fem	51	0.000897
VERB|Ins Sing Neut Pres Pass	51	0.000897
VERB|Loc Plur Fem Pres Pass	51	0.000897
VERB|Nom Dual Masc Pres Pass	51	0.000897
VERB|Nom Dual Neut Pres	50	0.000879
ADJ|Loc Dual Fem	49	0.000861
NOUN|Abl Dual Fem	49	0.000861
VERB|Gen Sing Neut Past	49	0.000861
VERB|Loc Plur Fem Pres	49	0.000861
NUM|Dat Plur Masc	48	0.000844
VERB|Abl Sing Masc Past	48	0.000844
VERB|Sing p3 Plp Ind	47	0.000826
ADJ|Dat Dual Masc	46	0.000809
ADJ|Voc Sing Neut	45	0.000791
NOUN|Abl Plur	45	0.000791
PRON|Loc Dual Neut	45	0.000791
ADJ|Dat Plur Neut	43	0.000756
ADP|Nom Sing Masc	43	0.000756
VERB|Plur p2 Pres Imp Pass	43	0.000756
PRON|Loc Dual Fem	42	0.000738
VERB|Acc Plur Neut Pres	42	0.000738
VERB|Ins Plur Masc Past	42	0.000738
PRON|Abl Dual Masc	41	0.000721
VERB|Sing p2 Fut Cond	40	0.000703
VERB|Acc Plur Neut Past	39	0.000686
VERB|Gen Sing Fem Pres Pass	39	0.000686
VERB|Plur p1 Past Prec	38	0.000668
VERB|Sing p2 Past Prec	38	0.000668
VERB|Acc Dual Fem	38	0.000668
VERB|Acc Plur Neut Pres Pass	38	0.000668
VERB|Ins Sing Neut Past	38	0.000668
VERB|Loc Dual Masc	38	0.000668
VERB|Loc Sing Masc Fut	38	0.000668
NUM|Gen Dual Fem	37	0.00065
VERB|Dual p3 Pres Sub	37	0.00065
VERB|Ins Dual Neut	37	0.00065
VERB|Acc Plur Fem Pres Pass	36	0.000633
VERB|Gen Plur Masc Fut	36	0.000633
ADJ|Abl Plur Fem	35	0.000615
NOUN|Ins Sing	35	0.000615
NOUN|Loc Sing	35	0.000615
NUM|Cpd Fem	35	0.000615
VERB|Abl Sing Neut Pres	35	0.000615
PRON|Dat Plur Neut	34	0.000598
NOUN|Voc Dual Neut	33	0.00058
NUM|Abl Sing Masc	32	0.000563
VERB|Ins Plur Neut Pres Pass	32	0.000563
NUM|Abl Plur Neut	31	0.000545
VERB|Dual p3 Past Imp	30	0.000527
VERB|Plur p1 Pres Ind Pass	30	0.000527
VERB|Acc Sing Fem Fut	30	0.000527
VERB|Dual p2 Fut Ind	29	0.00051
VERB|Ins Sing Fem Pres Pass	28	0.000492
VERB|Loc Plur Masc Past	27	0.000475
VERB|Voc Sing Fem Pres	27	0.000475
VERB|Sing p1 Fut Cond	26	0.000457
VERB|Dat Sing Neut	26	0.000457
VERB|Loc Plur Masc Fut	26	0.000457
VERB|Voc Plur Masc	26	0.000457
NOUN|Dat Dual Neut	25	0.000439
NOUN|Ins Dual	25	0.000439
VERB|Dual p1 Impf Ind	25	0.000439
VERB|Dual p1 Pres Opt	25	0.000439
VERB|Dual p3 Impf Ind Pass	25	0.000439
VERB|Sing p1 Pres Jus	25	0.000439
VERB|Abl Plur Neut	25	0.000439
VERB|Nom Sing Fem Fut	25	0.000439
ADJ|Abl Dual Masc	24	0.000422
VERB|Plur p2 Past Sub	24	0.000422
